iter	Passed	Remaining
0	3	1587
1	5	1358
2	7	1258
3	9	1170
4	11	1150
5	13	1122
6	15	1094
7	17	1049
8	18	1035
9	20	1013
10	22	1005
11	24	995
12	25	949
13	27	938
14	28	919
15	30	913
16	32	913
17	33	906
18	35	896
19	37	893
20	39	894
21	40	886
22	42	878
23	43	870
24	45	864
25	47	861
26	48	854
27	50	849
28	52	850
29	54	848
30	55	843
31	57	839
32	59	835
33	60	830
34	62	831
35	64	828
36	66	825
37	67	824
38	69	821
39	71	820
40	73	818
41	75	818
42	76	815
43	78	814
44	80	811
45	81	808
46	83	805
47	85	803
48	86	799
49	88	792
50	89	790
51	91	788
52	93	787
53	95	784
54	96	783
55	98	781
56	100	778
57	101	775
58	103	774
59	105	770
60	106	768
61	108	766
62	110	766
63	112	767
64	114	766
65	116	763
66	117	761
67	119	758
68	121	757
69	122	754
70	124	752
71	126	750
72	127	748
73	129	746
74	131	745
75	133	743
76	135	741
77	136	739
78	138	737
79	140	736
80	142	736
81	144	735
82	145	732
83	147	730
84	149	728
85	151	727
86	152	726
87	154	723
88	156	722
89	158	720
90	159	718
91	161	715
92	163	713
93	164	711
94	166	708
95	168	707
96	169	705
97	171	702
98	173	701
99	175	700
100	176	698
101	178	696
102	180	694
103	181	692
104	183	690
105	184	685
106	186	683
107	188	683
108	190	681
109	191	679
110	193	677
111	194	675
112	196	673
113	198	671
114	199	669
115	201	667
116	203	665
117	205	663
118	206	662
119	208	660
120	210	658
121	211	656
122	213	653
123	214	651
124	216	649
125	218	647
126	220	646
127	222	645
128	223	642
129	224	639
130	226	637
131	227	635
132	229	633
133	231	631
134	232	628
135	234	627
136	235	624
137	237	622
138	239	620
139	240	618
140	241	616
141	243	614
142	245	611
143	246	610
144	248	608
145	250	606
146	251	604
147	253	602
148	255	600
149	256	598
150	258	596
151	260	596
152	261	594
153	263	592
154	265	590
155	266	588
156	268	586
157	270	584
158	271	583
159	273	581
160	275	579
161	277	578
162	278	576
163	280	574
164	282	572
165	283	570
166	285	568
167	286	566
168	288	564
169	290	563
170	291	561
171	293	558
172	294	556
173	296	554
174	297	552
175	299	550
176	300	548
177	302	546
178	303	544
179	305	543
180	307	541
181	309	540
182	310	538
183	312	536
184	314	534
185	315	532
186	317	530
187	318	529
188	320	527
189	322	526
190	324	524
191	325	522
192	327	521
193	329	519
194	330	517
195	332	515
196	333	513
197	335	512
198	337	510
199	339	508
200	340	506
201	342	504
202	343	502
203	345	501
204	346	499
205	348	497
206	349	495
207	351	493
208	353	492
209	355	490
210	357	489
211	358	487
212	360	485
213	361	483
214	363	481
215	364	479
216	366	478
217	369	477
218	370	475
219	372	473
220	373	471
221	375	470
222	376	468
223	378	466
224	379	464
225	381	462
226	383	460
227	384	458
228	386	456
229	387	454
230	388	452
231	390	451
232	391	449
233	393	447
234	394	445
235	396	443
236	397	441
237	399	439
238	401	438
239	402	436
240	403	434
241	405	432
242	406	430
243	408	428
244	409	426
245	411	424
246	412	422
247	414	421
248	416	419
249	417	417
250	418	415
251	420	413
252	421	411
253	422	409
254	424	407
255	425	405
256	427	403
257	428	402
258	430	400
259	431	398
260	433	396
261	434	394
262	435	392
263	437	390
264	438	388
265	439	386
266	441	385
267	442	383
268	444	381
269	446	380
270	447	378
271	449	376
272	451	375
273	452	373
274	453	371
275	455	369
276	457	367
277	459	366
278	460	364
279	462	363
280	463	361
281	465	359
282	466	358
283	468	356
284	470	354
285	471	353
286	473	351
287	474	349
288	476	347
289	478	346
290	479	344
291	481	342
292	483	341
293	484	339
294	486	337
295	487	336
296	489	334
297	490	332
298	492	331
299	494	329
300	495	327
301	497	325
302	498	324
303	500	322
304	501	320
305	503	319
306	504	317
307	505	315
308	507	313
309	508	311
310	510	310
311	512	308
312	513	306
313	515	305
314	517	303
315	518	301
316	519	300
317	521	298
318	522	296
319	525	295
320	526	293
321	527	291
322	529	290
323	530	288
324	532	286
325	533	284
326	535	283
327	537	281
328	538	279
329	540	278
330	541	276
331	542	274
332	544	273
333	545	271
334	547	269
335	549	268
336	551	266
337	552	264
338	553	263
339	555	261
340	556	259
341	558	257
342	559	256
343	561	254
344	562	252
345	563	250
346	565	249
347	566	247
348	568	245
349	569	244
350	571	242
351	572	240
352	574	239
353	575	237
354	577	235
355	578	234
356	580	232
357	581	230
358	582	228
359	584	227
360	585	225
361	586	223
362	588	222
363	589	220
364	591	218
365	592	217
366	594	215
367	595	213
368	597	211
369	598	210
370	600	208
371	601	207
372	603	205
373	604	203
374	606	202
375	606	200
376	608	198
377	609	196
378	611	195
379	612	193
380	613	191
381	615	190
382	617	188
383	618	186
384	620	185
385	621	183
386	623	182
387	624	180
388	625	178
389	627	176
390	628	175
391	629	173
392	631	171
393	632	170
394	635	168
395	636	167
396	638	165
397	639	163
398	640	162
399	642	160
400	643	158
401	645	157
402	646	155
403	648	154
404	649	152
405	651	150
406	652	149
407	654	147
408	655	145
409	656	144
410	657	142
411	659	140
412	660	139
413	662	137
414	664	136
415	666	134
416	667	132
417	668	131
418	670	129
419	671	127
420	673	126
421	674	124
422	675	123
423	677	121
424	679	119
425	680	118
426	682	116
427	683	115
428	685	113
429	686	111
430	687	110
431	689	108
432	690	106
433	692	105
434	693	103
435	695	102
436	696	100
437	698	98
438	699	97
439	700	95
440	702	93
441	703	92
442	705	90
443	706	89
444	708	87
445	709	85
446	711	84
447	712	82
448	714	81
449	715	79
450	716	77
451	718	76
452	719	74
453	721	73
454	722	71
455	724	69
456	725	68
457	727	66
458	728	65
459	730	63
460	731	61
461	733	60
462	734	58
463	736	57
464	737	55
465	738	53
466	740	52
467	741	50
468	743	49
469	744	47
470	746	45
471	747	44
472	749	42
473	750	41
474	751	39
475	753	37
476	754	36
477	756	34
478	757	33
479	759	31
480	760	30
481	762	28
482	763	26
483	765	25
484	766	23
485	768	22
486	769	20
487	770	18
488	772	17
489	774	15
490	775	14
491	776	12
492	778	11
493	779	9
494	781	7
495	782	6
496	784	4
497	785	3
498	787	1
499	788	0
