iter	Logloss
0	0.6509814553
1	0.6148694238
2	0.5766113353
3	0.5501785771
4	0.528541602
5	0.5017584934
6	0.4798016704
7	0.4619211364
8	0.4421231209
9	0.4260622928
10	0.4151491559
11	0.4004902886
12	0.386666533
13	0.3760880514
14	0.3661075763
15	0.3561582998
16	0.3477870236
17	0.3438267645
18	0.3387734803
19	0.3304680097
20	0.3234291699
21	0.3157471255
22	0.3099958328
23	0.3051358769
24	0.2994310383
25	0.2944123227
26	0.2889620232
27	0.2850550722
28	0.2821694313
29	0.278408181
30	0.2739006739
31	0.2722115199
32	0.2704974207
33	0.2679338882
34	0.2648688712
35	0.2630912832
36	0.2619792027
37	0.2587005221
38	0.2567087699
39	0.2546174947
40	0.2513838196
41	0.2483359899
42	0.244595691
43	0.2412437088
44	0.2390692493
45	0.2358897112
46	0.2340776708
47	0.2318658466
48	0.2312163952
49	0.22828853
50	0.2273025735
51	0.2254004702
52	0.2248062924
53	0.2232864452
54	0.2217150295
55	0.2201082214
56	0.2189589201
57	0.217284821
58	0.2156669158
59	0.213596555
60	0.21229705
61	0.209802245
62	0.2085251005
63	0.2078636365
64	0.2072233036
65	0.2063993218
66	0.2052146453
67	0.204039615
68	0.2025344986
69	0.2013004547
70	0.1997111088
71	0.1987515717
72	0.1978521737
73	0.1972637175
74	0.1971954058
75	0.195442111
76	0.1939952118
77	0.1924748198
78	0.1912146694
79	0.1901761042
80	0.1894711058
81	0.1883872359
82	0.1874277251
83	0.186520293
84	0.1854568516
85	0.1846257867
86	0.1842636207
87	0.1831151685
88	0.1821809478
89	0.1816773296
90	0.1811577825
91	0.1801540209
92	0.1793664089
93	0.1779144694
94	0.1772408873
95	0.1764536945
96	0.1750953484
97	0.1740408336
98	0.1724954309
99	0.1714099475
100	0.1706409343
101	0.1702388449
102	0.1687008337
103	0.1682939048
104	0.1673012852
105	0.1660472167
106	0.1646574611
107	0.1637643153
108	0.163233627
109	0.1626128021
110	0.1621340659
111	0.1612142719
112	0.1605548331
113	0.1595968493
114	0.1589754798
115	0.1584169771
116	0.1575776454
117	0.156488379
118	0.155788218
119	0.1549069562
120	0.1539396728
121	0.1531345451
122	0.1523060743
123	0.1513927619
124	0.1512438157
125	0.1498957528
126	0.1492315564
127	0.1478966399
128	0.1468943184
129	0.1458869508
130	0.1449578741
131	0.1446690295
132	0.1439935397
133	0.1432328181
134	0.142316296
135	0.1416815395
136	0.1408735604
137	0.1398736811
138	0.1394211643
139	0.1381493577
140	0.1377273241
141	0.1374259391
142	0.1369082442
143	0.1352505567
144	0.1339486399
145	0.1333555664
146	0.1328103281
147	0.1321095103
148	0.1312058792
149	0.1307357273
150	0.1295872107
151	0.129093225
152	0.1285677209
153	0.1271575503
154	0.1264911659
155	0.126216499
156	0.1261808647
157	0.1254452434
158	0.1244620037
159	0.1241684961
160	0.1237787701
161	0.123447269
162	0.1226105498
163	0.1215912511
164	0.1211228074
165	0.1209282921
166	0.1201134387
167	0.1194726938
168	0.1186976959
169	0.1183061428
170	0.117495227
171	0.1167168098
172	0.1162563926
173	0.1153614928
174	0.1149107712
175	0.1147540255
176	0.1143726052
177	0.1139744396
178	0.1135065853
179	0.1128564801
180	0.1122281171
181	0.1114974898
182	0.1107682673
183	0.1104742958
184	0.1102004316
185	0.1098061453
186	0.1091832351
187	0.1091082901
188	0.108870616
189	0.1079263944
190	0.1073308156
191	0.1063132889
192	0.1054447891
193	0.1051072266
194	0.1043584689
195	0.1040774094
196	0.1033942186
197	0.103303917
198	0.102799747
199	0.1021090643
200	0.101598776
201	0.1012234692
202	0.1003194006
203	0.09967255024
204	0.09932035206
205	0.09913048326
206	0.09860210905
207	0.09829148284
208	0.09795604345
209	0.09747454461
210	0.09694921382
211	0.09629556327
212	0.09583593966
213	0.09532918224
214	0.09493143355
215	0.09458466916
216	0.09426535773
217	0.09377306782
218	0.09335666667
219	0.09276865969
220	0.09236179086
221	0.09165074805
222	0.09147794689
223	0.09127578212
224	0.09082975406
225	0.08959439421
226	0.08911994699
227	0.08869056886
228	0.0878727072
229	0.08715067148
230	0.08653112945
231	0.08584871589
232	0.08558214384
233	0.08518418789
234	0.08496561299
235	0.08458706133
236	0.08431023327
237	0.08384467413
238	0.0833894188
239	0.0825047679
240	0.08169747034
241	0.08139961363
242	0.08120190499
243	0.08087759643
244	0.08018627764
245	0.07959216086
246	0.07914094764
247	0.07860351953
248	0.0777651282
249	0.07717524707
250	0.07688303396
251	0.07675916958
252	0.07611689696
253	0.07559535651
254	0.07526016189
255	0.07435895693
256	0.07416950203
257	0.07384574208
258	0.07333639516
259	0.07294903738
260	0.07237501655
261	0.07175855546
262	0.07150597399
263	0.07072511063
264	0.07035509218
265	0.06996510315
266	0.06960902851
267	0.06902670505
268	0.06860190501
269	0.06815768363
270	0.06786156371
271	0.067461797
272	0.06735697433
273	0.06702164164
274	0.06683935652
275	0.06666379242
276	0.06650398441
277	0.06596169589
278	0.06577665108
279	0.06560299441
280	0.06547506461
281	0.06533162739
282	0.06528851824
283	0.06491039679
284	0.0644651288
285	0.06414632999
286	0.0638528602
287	0.06378045224
288	0.06358292693
289	0.06345748072
290	0.06296589455
291	0.06262588706
292	0.06239354234
293	0.06202906618
294	0.06160849858
295	0.06129204436
296	0.06084478948
297	0.06019765463
298	0.05996702282
299	0.05954812109
